dataset,tiers,method,AURC_mean,AURC_std,n_seeds
adult,AC,A0_rank,0.03314975041863609,0.0018357294858184642,10
adult,AC,A1_lightgbm,0.034314260201109476,0.00158745168993949,10
adult,AC,A1_logreg,0.030460971935141423,0.0017100021402936293,10
adult,AC,A1_logreg_naive_meta,0.03056414752165461,0.001631812657500534,10
adult,AC,A2_adaptive_loss3,0.03211171197118537,0.0026090901065343028,10
adult,AC,A2_mlp_bce,0.030949988623386427,0.0016876101141422083,10
adult,AC,A2_mlp_loss1,0.0414666387507327,0.004266077541129693,10
adult,AC,A2_mlp_loss2,0.04134121797249336,0.030182220330530026,10
adult,AC,A2_mlp_loss3,0.031013277877904633,0.0017325253502862125,10
adult,AC,oracle,0.008701733783520255,0.00047432325103390305,10
adult,AC,random,0.12836806035871695,0.004783256538701268,10
adult,AC,signal_calib_residual,0.053633443551561175,0.00477690813715719,10
adult,AC,signal_energy,0.030163425986597842,0.0014677767674473694,10
adult,AC,signal_entropy,0.030163425986597842,0.0014677767674473694,10
adult,AC,signal_knn_distance,0.15985457280174395,0.0038839765048900884,10
adult,AC,signal_local_label_agreement,0.04961339141644796,0.0033181306216827334,10
adult,AC,signal_mahalanobis,0.16068702113905425,0.004097179352713866,10
adult,AC,signal_margin_logit,0.030163425986597842,0.0014677767674473694,10
adult,AC,signal_margin_prob,0.030163425986597842,0.0014677767674473694,10
adult,AC,signal_msp,0.030163425986597842,0.0014677767674473694,10
adult,AC,signal_temp_msp,0.030163425986597842,0.0014677767674473694,10
adult,AC,signal_trust_score,0.07696629836582673,0.0041853427534325974,10
electricity,AC,A0_rank,0.19690584189629204,0.006626900591384365,10
electricity,AC,A1_lightgbm,0.30457812204335905,0.0352014497230418,10
electricity,AC,A1_logreg,0.20035280161016455,0.007386828221750692,10
electricity,AC,A1_logreg_naive_meta,0.22588187149723732,0.01838473907004734,10
electricity,AC,A2_adaptive_loss3,0.19565675181543887,0.005611744851617586,10
electricity,AC,A2_mlp_bce,0.20996189738627608,0.011420477111997524,10
electricity,AC,A2_mlp_loss1,0.34554702368165946,0.09514555441730511,10
electricity,AC,A2_mlp_loss2,0.21153509311735025,0.028758779514307383,10
electricity,AC,A2_mlp_loss3,0.2219321572802475,0.015863197357481304,10
electricity,AC,oracle,0.0802442876620242,0.0036062642316645067,10
electricity,AC,random,0.3704506574040346,0.00834090244670778,10
electricity,AC,signal_calib_residual,0.2611046561176114,0.01730501577501538,10
electricity,AC,signal_energy,0.194593552880341,0.0056459751912222595,10
electricity,AC,signal_entropy,0.194593552880341,0.0056459751912222595,10
electricity,AC,signal_knn_distance,0.41794947974546676,0.014267702772248108,10
electricity,AC,signal_local_label_agreement,0.22486364389368063,0.003275401005373219,10
electricity,AC,signal_mahalanobis,0.43212001136938716,0.009999553076329094,10
electricity,AC,signal_margin_logit,0.194593552880341,0.0056459751912222595,10
electricity,AC,signal_margin_prob,0.194593552880341,0.0056459751912222595,10
electricity,AC,signal_msp,0.194593552880341,0.0056459751912222595,10
electricity,AC,signal_temp_msp,0.194593552880341,0.0056459751912222595,10
electricity,AC,signal_trust_score,0.25791166465256826,0.004340825311116568,10
german_credit,AC,A0_rank,0.12477203177058724,0.03043395985105541,10
german_credit,AC,A1_lightgbm,0.1561049132166657,0.041817599643763796,10
german_credit,AC,A1_logreg,0.1375612390359271,0.03286837693476861,10
german_credit,AC,A1_logreg_naive_meta,0.13769966247280205,0.03684214394724314,10
german_credit,AC,A2_adaptive_loss3,0.15392495745922907,0.030894319511179855,10
german_credit,AC,A2_mlp_bce,0.15520153989248647,0.033480952613878436,10
german_credit,AC,A2_mlp_loss1,0.14032111144922388,0.03496960533448387,10
german_credit,AC,A2_mlp_loss2,0.14441941573786624,0.04784436264123971,10
german_credit,AC,A2_mlp_loss3,0.15007378807922578,0.029394448009091242,10
german_credit,AC,oracle,0.02993490100950049,0.00962171217500421,10
german_credit,AC,random,0.246510736125873,0.04633682833125794,10
german_credit,AC,signal_calib_residual,0.17291425373769415,0.040009177002891784,10
german_credit,AC,signal_energy,0.13297841106387734,0.032703741184358946,10
german_credit,AC,signal_entropy,0.13297841106387734,0.032703741184358946,10
german_credit,AC,signal_knn_distance,0.1931872966059316,0.0415196251061226,10
german_credit,AC,signal_local_label_agreement,0.1539242329688291,0.04416471384544727,10
german_credit,AC,signal_mahalanobis,0.1810642253523748,0.04170340762644877,10
german_credit,AC,signal_margin_logit,0.13297841106387734,0.032703741184358946,10
german_credit,AC,signal_margin_prob,0.13297841106387734,0.032703741184358946,10
german_credit,AC,signal_msp,0.13297841106387734,0.032703741184358946,10
german_credit,AC,signal_temp_msp,0.13297841106387734,0.032703741184358946,10
german_credit,AC,signal_trust_score,0.1609026385300105,0.03841138842614765,10
