dataset,K,capacity,seeds,base_acc,test_errors,rho_local_test,rho_local_meta,eff_binarity,delta_local_meta,delta_local_meta_q25,n_err_meta_q25,gain_pct,gain_sd
satimage,6,tiny,5,0.621139896373057,365.6,0.35819803692059987,0.37268593909840614,0.4581657960682909,-0.0021002990568207646,-0.0007186068817976787,172.2,-1.2246116434222867,0.5739646328952351
satimage,6,very_weak,5,0.7805181347150258,211.8,0.3731354536733822,0.413984469181259,0.48719002931702304,0.0008618504446740394,0.0001765126133980166,135.0,-1.6652892567979662,1.9152310127906558
satimage,6,weak,5,0.8424870466321244,152.0,0.3517889621477628,0.3422433761570154,0.6641614045099833,-0.01319163791382183,-0.0076806521384078065,105.0,-0.7550560556296368,2.442599329462216
satimage,6,medium,5,0.8940932642487047,102.2,0.35510204081632646,0.40253261098253734,0.8747257856671306,-0.03889804188344428,-0.011673482984374917,84.8,-4.412372862709761,8.789729014796329
satimage,6,strong,5,0.932020725388601,65.6,0.3264911634756995,0.24836945087313272,0.9792358014491814,-0.05074153518244249,0.005754678546014924,66.0,1.5664756112291633,7.315145042905385
satimage,6,full,5,0.9345077720207253,63.2,0.33609825373448343,0.26769145802650957,0.9875133871583879,-0.06882710925068052,-0.00013880795590259787,66.4,-5.05479119176087,3.03256854605996
wine_quality_white,7,tiny,5,0.4623978201634877,394.6,0.17443991733598785,0.07456266619801712,0.6857443376308945,-0.03201912914755063,-0.023340750781859952,100.2,6.715930194140247,4.029516787699242
wine_quality_white,7,very_weak,5,0.5010899182561308,366.2,0.14852910731154756,0.1934269928941154,0.6863113161695603,-0.03186509781221234,-0.020024028061198053,98.6,8.637209045404338,5.100046253546417
wine_quality_white,7,weak,5,0.5376021798365123,339.4,0.15470304850505207,0.1502973106099909,0.7194022029294072,-0.036393820141394986,-0.04077445299695479,99.2,9.573051834199479,1.535442793467352
wine_quality_white,7,medium,5,0.5765667574931881,310.8,0.1697238477832195,0.08073311308567131,0.7546543817400213,-0.0645253476198598,-0.04429916604084809,99.2,9.388640270810349,3.462092452788769
wine_quality_white,7,strong,5,0.6831062670299727,232.6,0.30188625608038333,0.253340827480628,0.9067168245114028,-0.08651124158267808,-0.04282577543444088,100.2,-1.678343734611682,3.195732771150708
wine_quality_white,7,full,5,0.6841961852861036,231.8,0.25823530983267406,0.10717298011840226,0.9458912699910554,-0.1259957845425719,-0.05555107404724343,101.8,-1.7896786125804447,3.4823397036154806
adult,2,tiny,3,0.7616577953687275,1746.3333333333333,1.0,0.9999999999999999,1.0,0.040792771656270745,0.018096835342726436,903.6666666666666,-9.085292269188258,4.447379929166246
adult,2,very_weak,3,0.7679814385150813,1700.0,0.9999999999999999,0.9999999999999999,1.0,0.01844813019287957,0.013276788149670371,1054.3333333333333,-7.512245191928682,4.634822793047086
adult,2,weak,3,0.8355397843592193,1205.0,1.0,1.0,1.0,-0.004726180369130528,0.002105271961678793,670.6666666666666,-6.192070284057949,9.452734998866612
adult,2,medium,3,0.855102133660889,1061.6666666666667,1.0,1.0,1.0,-0.02193664733505189,0.005215959172285123,684.6666666666666,-0.4261450717262847,0.782920787549231
adult,2,strong,3,0.871297939129248,943.0,1.0,1.0,1.0,-0.00871992526469508,0.0048552374510305585,653.3333333333334,1.1192160576474277,0.8520892578968609
adult,2,full,3,0.8702515809107866,950.6666666666666,1.0,0.9999999999999999,1.0,-0.006136120700139765,0.011354153549633835,665.0,1.979226037113758,1.508621394547747
german_credit,2,tiny,5,0.6719999999999999,49.2,1.0,1.0,1.0,-0.038250517598343706,-0.041921415943155085,12.4,-1.4358706973853494,7.665644678020953
german_credit,2,very_weak,5,0.6719999999999999,49.2,1.0,1.0,1.0,-0.04587071543593282,-0.051195699630482226,12.4,-3.5018184964313717,9.627537356511512
german_credit,2,weak,5,0.6813333333333333,47.8,1.0,1.0,1.0,-0.10418091168091163,-0.06725178345382951,18.8,-7.486199747353131,9.80182808211283
german_credit,2,medium,5,0.752,37.2,1.0,1.0,1.0,-0.18369841269841264,-0.13970237941465563,15.8,8.092710032648371,8.947629690309562
german_credit,2,strong,5,0.7813333333333333,32.8,1.0,1.0,1.0,-0.15933465608465608,-0.15862742330133633,16.2,4.98036022395145,6.80159374618273
german_credit,2,full,5,0.792,31.2,1.0,1.0,1.0,-0.210058608631364,-0.17744284636931698,15.8,1.456952952662773,6.140589140585702
