dataset,conformal_alpha,intensity,violation_rate,mean_coverage,mean_risk,n
satimage,0.01,0.0,0.0,0.0,0.0,40
satimage,0.01,0.1,0.0,0.0,0.0,40
satimage,0.01,0.25,0.0,0.0,0.0,40
satimage,0.01,0.5,0.0,0.0,0.0,40
satimage,0.01,1.0,0.0,0.0,0.0,40
satimage,0.01,2.0,0.0,0.0,0.0,40
satimage,0.02,0.0,0.0,0.1567357512953368,0.0008339722309236564,40
satimage,0.02,0.1,0.0,0.1472020725388601,0.0009461907182921836,40
satimage,0.02,0.25,0.025,0.1227979274611399,0.002280314888522178,40
satimage,0.02,0.5,0.125,0.1128238341968912,0.010752843716015238,40
satimage,0.02,1.0,0.175,0.1316321243523316,0.04070464535854581,40
satimage,0.02,2.0,0.15,0.14023316062176167,0.0723843050778915,40
satimage,0.05,0.0,0.0,0.7971243523316062,0.017890644986724585,40
satimage,0.05,0.1,0.0,0.781580310880829,0.01907125388417497,40
satimage,0.05,0.25,0.175,0.7231865284974093,0.03140062925102067,40
satimage,0.05,0.5,0.65,0.6723056994818652,0.07897216842840767,40
satimage,0.05,1.0,0.775,0.6509326424870466,0.19530932844704996,40
satimage,0.05,2.0,0.825,0.6462176165803108,0.3617875690947838,40
satimage,0.1,0.0,0.0,0.9534196891191711,0.048409708808650656,40
satimage,0.1,0.1,0.0,0.9507253886010363,0.056221089615299716,40
satimage,0.1,0.25,0.35,0.9385751295336787,0.08797207666482265,40
satimage,0.1,0.5,0.775,0.8990414507772021,0.13464177312753473,40
satimage,0.1,1.0,0.875,0.8419170984455958,0.2650290942533225,40
satimage,0.1,2.0,0.9,0.8205699481865285,0.44476881022925685,40
