dataset,baseline,method,mean_aurc_delta,p_value,p_value_holm,significant_at_0.05
adult,signal_msp,A0_rank,0.0059183989961701265,0.0625,1.0,False
adult,signal_msp,A1_lightgbm,0.003617704668009249,0.0625,1.0,False
adult,signal_msp,A1_logreg,0.009975285529032162,0.3125,1.0,False
adult,signal_msp,A1_logreg_naive_meta,0.019984314961716838,0.1875,1.0,False
adult,signal_msp,A2_adaptive_loss3,0.0012223578920797825,0.0625,1.0,False
adult,signal_msp,A2_mlp_bce,0.00022870764283366914,0.625,1.0,False
adult,signal_msp,A2_mlp_loss1,0.0034780200008999646,0.0625,1.0,False
adult,signal_msp,A2_mlp_loss2,0.00026748516223181124,0.3125,1.0,False
adult,signal_msp,A2_mlp_loss3,0.000890409419428978,0.125,1.0,False
adult,signal_msp,oracle,-0.021756997972779777,0.0625,1.0,False
adult,signal_msp,random,0.09935480821928161,0.0625,1.0,False
adult,signal_msp,signal_energy,0.15198434066388644,0.0625,1.0,False
adult,signal_msp,signal_knn_distance,0.13019473382610144,0.0625,1.0,False
adult,signal_msp,signal_local_label_agreement,0.020506317704466075,0.0625,1.0,False
adult,signal_msp,signal_logitnorm_msp,0.10014490864765146,0.0625,1.0,False
adult,signal_msp,signal_mahalanobis,0.13015963022269444,0.0625,1.0,False
adult,signal_msp,signal_trust_score,0.047509699635785364,0.0625,1.0,False
german_credit,signal_msp,A0_rank,-0.005431670012292325,0.3125,1.0,False
german_credit,signal_msp,A1_lightgbm,0.018175647128713713,0.3125,1.0,False
german_credit,signal_msp,A1_logreg,-0.00012070660841202174,1.0,1.0,False
german_credit,signal_msp,A1_logreg_naive_meta,-0.00016922783735493497,0.8125,1.0,False
german_credit,signal_msp,A2_adaptive_loss3,0.00343077321917237,0.3125,1.0,False
german_credit,signal_msp,A2_mlp_bce,0.050059611371369675,0.0625,1.0,False
german_credit,signal_msp,A2_mlp_loss1,0.012264416409265375,0.125,1.0,False
german_credit,signal_msp,A2_mlp_loss2,0.02270751361865076,0.3125,1.0,False
german_credit,signal_msp,A2_mlp_loss3,0.001093056803519761,1.0,1.0,False
german_credit,signal_msp,oracle,-0.09100683729559221,0.0625,1.0,False
german_credit,signal_msp,random,0.12348541409342902,0.0625,1.0,False
german_credit,signal_msp,signal_energy,0.014530908887651428,0.125,1.0,False
german_credit,signal_msp,signal_knn_distance,0.08519048151750004,0.0625,1.0,False
german_credit,signal_msp,signal_local_label_agreement,0.020004103678912786,0.125,1.0,False
german_credit,signal_msp,signal_logitnorm_msp,0.09157537555171646,0.0625,1.0,False
german_credit,signal_msp,signal_mahalanobis,0.05563350529772333,0.0625,1.0,False
german_credit,signal_msp,signal_trust_score,0.03180074911788243,0.0625,1.0,False
